"cat_prod","product_categories"
"non_alc_drinks","Non-alcoholic beverages"
"other","Other"
"condiments","Condiments"
"confectionery_desserts","Confectionery and Desserts"
"bread_breakfast","Bread and Breakfast"
"Baby_food","Baby food"
"alc_drinks","Alcoholic beverages"
"Household_essentials","Household essentials"
"vegetables_legumes","Vegetables and Legumes"
"meat_fish","Meat and Fish"
"dairy_eggs","Dairy and Eggs"
"personal_care","Personal care"
"preserved_premade","Preserved and Premade"
"Coffee_and_tea","Coffee and Tea"
"dry_goods","Dry goods"
NA,NA
