"date","e_u","id","GDP_month","production_agg_month","food_cpi","non_alc_bev_cpi","alc_bev_cpi"
2018-01-01,16806966,"10-4-alc_drinks",1881.75,40469.0833333333,94.371,92.319,96.288
2018-04-01,17281217,"10-4-alc_drinks",1881.75,40469.0833333333,94.654,91.506,99.155
2018-12-01,17912120,"10-4-alc_drinks",1881.75,40469.0833333333,95.56,93.299,97.449
2018-08-01,20695935,"10-4-alc_drinks",1881.75,40469.0833333333,95.192,92.602,98.236
2018-05-01,18192737,"10-4-alc_drinks",1881.75,40469.0833333333,95.551,92.36,99.794
2018-07-01,19385545,"10-4-alc_drinks",1881.75,40469.0833333333,95.269,92.196,99.181
2018-11-01,17195784,"10-4-alc_drinks",1881.75,40469.0833333333,95.942,92.305,99.203
2018-02-01,16569203,"10-4-alc_drinks",1881.75,40469.0833333333,94.362,91.953,97.599
2018-09-01,19304552,"10-4-alc_drinks",1881.75,40469.0833333333,95.102,92.441,98.857
2018-10-01,17868915,"10-4-alc_drinks",1881.75,40469.0833333333,96.577,92.841,99.368
2018-03-01,17195314,"10-4-alc_drinks",1881.75,40469.0833333333,94.464,91.936,98.776
2018-06-01,18856572,"10-4-alc_drinks",1881.75,40469.0833333333,96.211,91.505,99.421
2018-10-01,10877905,"11-1-Baby_food",1569.08333333333,40469.0833333333,96.866,90.542,97.448
2018-06-01,4713542,"10-1-preserved_premade",1881.75,40469.0833333333,96.211,91.505,99.421
2018-05-01,96342213,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.945,92.437,99.913
2018-08-01,96163264,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.916,92.421,99.922
2018-04-01,93502656,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.233,92.1,98.883
2018-12-01,11225549,"11-1-Baby_food",1569.08333333333,40469.0833333333,95.888,91.341,95.925
2018-06-01,95929623,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,95.618,92.019,99.891
2018-04-01,11170973,"11-1-Baby_food",1569.08333333333,40469.0833333333,95.09,90.158,95.692
2018-12-01,102952797,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,95.255,92.404,99.468
2018-01-01,4040891,"10-1-preserved_premade",1881.75,40469.0833333333,94.371,92.319,96.288
2018-09-01,4380516,"10-1-preserved_premade",1881.75,40469.0833333333,95.102,92.441,98.857
2018-03-01,104168301,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.132,92.037,98.499
2018-09-01,94309686,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.845,92.687,100.121
2018-08-01,5080818,"10-1-preserved_premade",1881.75,40469.0833333333,95.192,92.602,98.236
2018-02-01,91668650,"7-1-dairy_eggs",2024.08333333333,40469.0833333333,94.121,92.098,97.516
